Frame,Person,Keypoint,X,Y
329,0,0,tensor(878.0677),tensor(42.2323)
329,0,1,tensor(899.7328),tensor(0.)
329,0,2,tensor(883.4698),tensor(18.0231)
329,0,3,tensor(1010.6140),tensor(0.)
329,0,4,tensor(953.8733),tensor(30.3692)
329,0,5,tensor(1171.1656),tensor(214.6335)
329,0,6,tensor(999.1318),tensor(218.2585)
329,0,7,tensor(1183.8430),tensor(646.0927)
329,0,8,tensor(907.0773),tensor(555.2645)
329,0,9,tensor(845.8785),tensor(711.4685)
329,0,10,tensor(676.4906),tensor(621.8065)
329,0,11,tensor(1095.5691),tensor(720.)
329,0,12,tensor(977.7842),tensor(720.)
329,0,13,tensor(765.9171),tensor(673.8439)
329,0,14,tensor(655.8117),tensor(648.2062)
329,0,15,tensor(786.8412),tensor(673.7974)
329,0,16,tensor(760.0652),tensor(650.4173)
330,0,0,tensor(883.9171),tensor(49.3913)
330,0,1,tensor(906.2161),tensor(1.7189)
330,0,2,tensor(884.9479),tensor(25.2246)
330,0,3,tensor(1021.2004),tensor(0.)
330,0,4,tensor(952.2899),tensor(34.2461)
330,0,5,tensor(1170.3680),tensor(212.9030)
330,0,6,tensor(1005.9521),tensor(213.2286)
330,0,7,tensor(1168.3784),tensor(643.8892)
330,0,8,tensor(917.3387),tensor(543.4716)
330,0,9,tensor(831.4653),tensor(709.2472)
330,0,10,tensor(684.3694),tensor(611.7318)
330,0,11,tensor(1091.4971),tensor(720.)
330,0,12,tensor(979.2495),tensor(720.)
330,0,13,tensor(751.3079),tensor(677.8922)
330,0,14,tensor(651.3772),tensor(649.7621)
330,0,15,tensor(776.4069),tensor(700.7755)
330,0,16,tensor(767.6318),tensor(671.9326)
331,0,0,tensor(892.6465),tensor(59.7564)
331,0,1,tensor(905.9187),tensor(15.5924)
331,0,2,tensor(889.5535),tensor(34.8645)
331,0,3,tensor(996.7285),tensor(4.3390)
331,0,4,tensor(955.9041),tensor(46.5856)
331,0,5,tensor(1160.6003),tensor(224.1743)
331,0,6,tensor(1007.2360),tensor(213.2717)
331,0,7,tensor(1174.8502),tensor(637.8645)
331,0,8,tensor(916.1899),tensor(523.5761)
331,0,9,tensor(829.6034),tensor(720.)
331,0,10,tensor(690.4810),tensor(607.5863)
331,0,11,tensor(1070.2242),tensor(720.)
331,0,12,tensor(968.6617),tensor(718.4919)
331,0,13,tensor(779.4158),tensor(706.2733)
331,0,14,tensor(679.3531),tensor(652.5768)
331,0,15,tensor(738.2448),tensor(720.)
331,0,16,tensor(696.2474),tensor(690.8570)
332,0,0,tensor(898.4423),tensor(50.5933)
332,0,1,tensor(912.2915),tensor(7.1650)
332,0,2,tensor(897.0211),tensor(24.1839)
332,0,3,tensor(1001.9681),tensor(0.)
332,0,4,tensor(963.0770),tensor(37.3472)
332,0,5,tensor(1164.8090),tensor(226.3005)
332,0,6,tensor(1009.0533),tensor(215.3388)
332,0,7,tensor(1175.6451),tensor(633.8212)
332,0,8,tensor(912.0097),tensor(523.1078)
332,0,9,tensor(814.5817),tensor(720.)
332,0,10,tensor(680.8618),tensor(606.9740)
332,0,11,tensor(1078.5907),tensor(720.)
332,0,12,tensor(976.1621),tensor(714.7819)
332,0,13,tensor(794.1915),tensor(702.3528)
332,0,14,tensor(692.3475),tensor(650.1832)
332,0,15,tensor(740.4160),tensor(720.)
332,0,16,tensor(702.7137),tensor(685.8603)
333,0,0,tensor(902.6163),tensor(35.9445)
333,0,1,tensor(918.1931),tensor(0.)
333,0,2,tensor(901.3563),tensor(9.9647)
333,0,3,tensor(1011.8099),tensor(0.)
333,0,4,tensor(965.0738),tensor(25.0975)
333,0,5,tensor(1175.0353),tensor(214.0414)
333,0,6,tensor(1007.5283),tensor(203.9431)
333,0,7,tensor(1178.1296),tensor(631.8396)
333,0,8,tensor(910.8503),tensor(520.0607)
333,0,9,tensor(813.7799),tensor(720.)
333,0,10,tensor(682.2444),tensor(606.8314)
333,0,11,tensor(1086.3490),tensor(720.)
333,0,12,tensor(975.0081),tensor(710.2623)
333,0,13,tensor(791.0365),tensor(689.3090)
333,0,14,tensor(680.1141),tensor(639.3333)
333,0,15,tensor(739.4001),tensor(720.)
333,0,16,tensor(700.3389),tensor(684.3995)
334,0,0,tensor(901.6757),tensor(35.7788)
334,0,1,tensor(917.7824),tensor(0.)
334,0,2,tensor(905.2262),tensor(12.6896)
334,0,3,tensor(1016.1174),tensor(0.)
334,0,4,tensor(976.2113),tensor(26.9220)
334,0,5,tensor(1182.7231),tensor(202.8137)
334,0,6,tensor(1014.4590),tensor(194.2934)
334,0,7,tensor(1188.2539),tensor(624.1346)
334,0,8,tensor(915.5234),tensor(512.5767)
334,0,9,tensor(817.6904),tensor(720.)
334,0,10,tensor(682.5292),tensor(610.0151)
334,0,11,tensor(1082.3551),tensor(720.)
334,0,12,tensor(967.3746),tensor(692.8752)
334,0,13,tensor(785.8512),tensor(685.7012)
334,0,14,tensor(669.9929),tensor(642.1366)
334,0,15,tensor(755.0300),tensor(720.)
334,0,16,tensor(704.7931),tensor(677.4744)
335,0,0,tensor(904.0164),tensor(36.9191)
335,0,1,tensor(919.9173),tensor(0.)
335,0,2,tensor(905.1594),tensor(14.4402)
335,0,3,tensor(1021.8313),tensor(0.)
335,0,4,tensor(975.8608),tensor(26.2682)
335,0,5,tensor(1188.8370),tensor(194.9246)
335,0,6,tensor(1020.0872),tensor(185.5636)
335,0,7,tensor(1191.4282),tensor(623.2932)
335,0,8,tensor(922.2330),tensor(499.1699)
335,0,9,tensor(823.5614),tensor(720.)
335,0,10,tensor(690.3018),tensor(601.5761)
335,0,11,tensor(1084.5403),tensor(720.)
335,0,12,tensor(968.4514),tensor(692.3314)
335,0,13,tensor(781.0020),tensor(672.4952)
335,0,14,tensor(664.9041),tensor(633.5386)
335,0,15,tensor(768.4694),tensor(717.5133)
335,0,16,tensor(708.8715),tensor(675.0531)
336,0,0,tensor(907.7389),tensor(31.6430)
336,0,1,tensor(923.9341),tensor(0.)
336,0,2,tensor(910.3756),tensor(10.9755)
336,0,3,tensor(1025.6613),tensor(0.)
336,0,4,tensor(982.3488),tensor(25.1166)
336,0,5,tensor(1189.1964),tensor(186.0598)
336,0,6,tensor(1024.3326),tensor(179.2716)
336,0,7,tensor(1197.2271),tensor(612.1285)
336,0,8,tensor(930.8943),tensor(491.1868)
336,0,9,tensor(835.1365),tensor(713.2998)
336,0,10,tensor(699.7400),tensor(595.3840)
336,0,11,tensor(1086.7053),tensor(720.)
336,0,12,tensor(969.1682),tensor(692.7468)
336,0,13,tensor(790.6814),tensor(664.7593)
336,0,14,tensor(656.8007),tensor(631.6069)
336,0,15,tensor(808.1830),tensor(707.5216)
336,0,16,tensor(719.1144),tensor(670.6704)
337,0,0,tensor(915.4839),tensor(20.9528)
337,0,1,tensor(934.7476),tensor(0.)
337,0,2,tensor(919.2530),tensor(0.)
337,0,3,tensor(1038.3595),tensor(0.)
337,0,4,tensor(989.0054),tensor(9.4920)
337,0,5,tensor(1191.2288),tensor(185.6859)
337,0,6,tensor(1024.8939),tensor(170.8848)
